phylum	class	order	family	genus	species
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum rhacodes
Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae	Chondrostereum	Chondrostereum purpureum
Basidiomycota	Agaricomycetes	Agaricales	Chromocyphellaceae	Chromocyphella	Chromocyphella muscicola
Basidiomycota	Agaricomycetes	Boletales	Gomphidiaceae	Chroogomphus	Chroogomphus rutilus
Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Chrysothrix	Chrysothrix candelaris
Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Circinaria	Circinaria contorta
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia arbuscula
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia coccifera
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia coniocraea
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia cristatella
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia digitata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia evansii
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia fimbriata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia floerkeana
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia foliacea
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia furcata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia gracilis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia grayi
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia humilis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia macilenta
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia portentosa
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia ramulosa
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia rangiferina
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia rangiformis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia scabriuscula
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia stellaris
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia subtenuis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia uncialis
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus archeri
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus columnatus
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus crispatus
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus ruber
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria argillacea
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fragilis
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina coralloides
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina rugosa
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis corniculata
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis fusiformis
Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Climacodon	Climacodon septentrionalis
Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe fragrans
Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe nebularis
Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe odora
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus prunulus
Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Coleosporium	Coleosporium tussilaginis
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis confluens
Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis peronata
Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Coltricia	Coltricia perennis
Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala
Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina speciosa
Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina tricholoma
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus disseminatus
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis atramentaria
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis picacea
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis variegata
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	Coprinus comatus
Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps militaris
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius archeri
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius armillatus
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius austrovenetus
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius bolaris
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius caperatus
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius iodes
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius rotundisporus
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius semisanguineus
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius trivialis
Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius violaceus
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus cornucopioides
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Craterellus	Craterellus tubaeformis
Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	Crepidotus mollis
Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Crinipellis	Crinipellis scabella
Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Crucibulum	Crucibulum crucibuliforme
Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Crucibulum	Crucibulum laeve
Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Cruentomycena	Cruentomycena viscidocruenta
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	Cuphophyllus pratensis
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	Cuphophyllus virgineus
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cyanosporus	Cyanosporus caesius
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Cyathus	Cyathus olla
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Cyathus	Cyathus stercoreus
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Cyathus	Cyathus striatus
Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Cyclocybe	Cyclocybe cylindracea
Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Cyclocybe	Cyclocybe parasitica
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	Cylindrobasidium evolvens
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cyptotrama	Cyptotrama asprata
Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Cystoderma	Cystoderma amianthinum
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacrymyces	Dacrymyces chrysospermus
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacrymyces	Dacrymyces spathularius
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacrymyces	Dacrymyces stillatus
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Daedalea	Daedalea quercina
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Daedalea	Daedalea xantha
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis tricolor
Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia concentrica
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Deconica	Deconica montana
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Desarmillaria	Desarmillaria caespitosa
Ascomycota	Lecanoromycetes	Pertusariales	Icmadophilaceae	Dibaeis	Dibaeis baeomyces
Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Diploicia	Diploicia canescens
