phylum	class	order	family	genus	species
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	Hypogymnia physodes
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	Hypogymnia tubulosa
Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces chrysospermus
Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces lactifluorum
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypotrachyna	Hypotrachyna afrorevoluta
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypotrachyna	Hypotrachyna revoluta
Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon fragiforme
Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon fuscum
Ascomycota	Lecanoromycetes	Pertusariales	Icmadophilaceae	Icmadophila	Icmadophila ericetorum
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Ileodictyon	Ileodictyon cibarium
Ascomycota	Sordariomycetes	Hypocreales		Illosporiopsis	Illosporiopsis christiansenii
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Imleria	Imleria badia
